id,ts,question,city,signal,token_id,price,size,spend,ev,ev_dollar,kelly,our_prob,mkt_price,sigma,mode,clob_spread,clob_edge_at_fill,resolved,resolution_price,pnl,won,resolved_at,meta
218,2026-04-06T00:23:17.968757+00:00,Will the highest temperature in Paris be 20°C on April 7?,Paris,BUY YES,91807959397381744988889241821416380425558849699333842742904291476705266829749,0.07,25.0,1.7500000000000002,15.5,281.8,16.4,21.0,5.5,,PAPER,30.1,212.4,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 15.5, ""spread_pct"": 30.1, ""depth_usd_side"": 6.96, ""price_cents"": 7.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.8, ""bias_confidence"": ""high"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 0.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 5.0, ""size_mult_used"": 1.2, ""station_rmse"": 1.29, ""station_n"": 43, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.31, ""ev_addon_reasons"": [], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.74, ""spend_pre_cap"": 6.3, ""meta_proof_bypass"": false}"
219,2026-04-06T00:24:19.484749+00:00,Will the highest temperature in Beijing be 14°C on April 7?,Beijing,BUY YES,52559858945223204285610082965251896120426680161575582384609878141717746069571,0.11,10.0,1.1,17.4,226.0,18.9,25.1,7.7,,PAPER,3.9,132.3,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 17.4, ""spread_pct"": 3.9, ""depth_usd_side"": 2.96, ""price_cents"": 11.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.0, ""bias_confidence"": ""low"", ""sigma_floor_used"": 2.0, ""ev_addon_used"": 5.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 10.0, ""size_mult_used"": 0.7, ""station_rmse"": 1.02, ""station_n"": 8, ""penalty_cap_hit"": true, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""NOISY"", ""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 0.74, ""spend_pre_cap"": 3.67, ""meta_proof_bypass"": false}"
220,2026-04-06T00:39:48.515003+00:00,Will the highest temperature in Ankara be 14°C on April 7?,Ankara,BUY YES,39666570409614913233609807012942182013861205014317855173229093744546808988800,0.07,15.0,1.05,13.6,377.8,14.1,17.2,3.6,,PAPER,11.5,159.2,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 13.6, ""spread_pct"": 11.5, ""depth_usd_side"": 2.3, ""price_cents"": 7.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.0, ""bias_confidence"": ""none"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 2.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 7.0, ""size_mult_used"": 0.5, ""station_rmse"": 0.56, ""station_n"": 0, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 0.57, ""spend_pre_cap"": 5.25, ""meta_proof_bypass"": false}"
221,2026-04-06T03:43:56.336459+00:00,Will the highest temperature in Buenos Aires be 17°C on April 7?,Buenos Aires,BUY YES,105464026784211286156861400274357601755148330625013004633684227457504927619216,0.02,66.0,1.32,11.7,688.2,11.9,13.4,1.7,,PAPER,6.1,481.6,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 11.7, ""spread_pct"": 6.1, ""depth_usd_side"": 5.27, ""price_cents"": 2.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 4.5, ""bias_confidence"": ""high"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 0.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 5.0, ""size_mult_used"": 1.0, ""station_rmse"": 1.61, ""station_n"": 100, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": -0.16, ""ev_addon_reasons"": [], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.32, ""spend_pre_cap"": 5.5, ""meta_proof_bypass"": false}"
222,2026-04-06T03:58:30.624298+00:00,Will the highest temperature in Seattle be between 56-57°F on April 7?,Seattle,OBS_CONFIRM_YES,71035838157453938730304087969757588376549171974339809445045644121638399923571,0.435,20.0,8.7,51.5,10.3,0.0,95.0,43.5,,PAPER,,,,,,,,{}
223,2026-04-06T04:27:37.255744+00:00,Will the highest temperature in Moscow be 5°C on April 7?,Moscow,BUY YES,78061931438399592600108320684853882340090123802582059985489979910224842415797,0.12,15.0,1.7999999999999998,14.5,322.2,15.2,19.0,4.5,,PAPER,37.6,59.1,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 14.5, ""spread_pct"": 37.6, ""depth_usd_side"": 7.06, ""price_cents"": 12.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.0, ""bias_confidence"": ""none"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 2.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 7.0, ""size_mult_used"": 0.5, ""station_rmse"": 2.15, ""station_n"": 0, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.76, ""spend_pre_cap"": 5.25, ""meta_proof_bypass"": false}"
224,2026-04-06T04:34:48.084105+00:00,Will the highest temperature in Toronto be -3°C on April 7?,Toronto,SNIPE_YES,70760400978258704431054022067065563859314382898767320861196560078182275100588,0.015,15.0,0.22499999999999998,81.5,12.22,0.0,84.0,1.5,,PAPER,,,,,,,,{}
225,2026-04-06T04:34:48.091429+00:00,Will the highest temperature in Toronto be -2°C on April 7?,Toronto,SNIPE_YES,106880890728946451902344391360019206465878443837477461080515264676003058109604,0.025,15.0,0.375,65.8,9.88,0.0,69.2,2.5,,PAPER,,,,,,,,{}
226,2026-04-06T05:36:43.789619+00:00,Will the highest temperature in Moscow be 4°C on April 7?,Moscow,SNIPE_YES,55515785989561382129602807591668276650198300211256333284225155867601517387358,0.025,12.5,0.3125,12.5,1.56,0.0,15.0,2.5,,PAPER,,,,,,,,{}
227,2026-04-06T05:57:31.114594+00:00,Will the highest temperature in Seattle be between 54-55°F on April 7?,Seattle,OBS_CONFIRM_YES,14325596691631059304266705556233093201335995181939962778130887571204399035390,0.33,20.0,6.6000000000000005,62.0,12.4,0.0,95.0,33.0,,PAPER,,,,,,,,{}
